,interaction,features,odds,p,is_significant,q,log_o,log_q
5626,CHEBI:4167:-,IPR007666,35.61827956989247,0.0033280970793632307,True,0.014115831368326812,1.5516729383909291,1.8502935384845383
5627,CHEBI:4167:-,IPR007466,15000.0,0.0003453208109299077,True,0.0029239417340735626,4.176091259055681,2.534031285894224
5628,CHEBI:28368:-,IPR036078,560.5833333333334,4.265269235453586e-05,True,0.0005941621623445905,2.7486401816351775,3.226095008554195
5629,CHEBI:16057:-,IPR006204,306.22727272727275,5.10822891775726e-05,True,0.0006852150108165101,2.4860438665304723,3.16417313163272
5630,CHEBI:16168:-,IPR002938,1926.857142857143,4.732555081074786e-06,True,0.00010027544809179609,3.2848495172664105,3.998805388649635
5631,CHEBI:16467:-,IPR041734,15000.0,0.00011523848776096868,True,0.0013141454015876673,4.176091259055681,2.881356580275745
5632,CHEBI:58199:-,IPR000634,27.086868686868687,0.0033791867712411263,True,0.014319567425679875,1.4327588023526325,1.8440701012654384
5633,CHEBI:17319:-,IPR011611,128.1904761904762,0.00021247547556901543,True,0.0021180977516482165,2.10785576081802,2.674054000781043
5634,CHEBI:17319:-,IPR013785,11.465156794425088,0.019297502673496808,True,0.03948598686799379,1.0593799984020225,1.4035570032513192
5635,CHEBI:4167:-,IPR002772,106.88709677419355,0.001023278848496277,True,0.006558398294815764,2.0289252810928433,2.183202211944169
5636,CHEBI:4167:-,IPR003469,106.88709677419355,0.001023278848496277,True,0.006558398294815764,2.0289252810928433,2.183202211944169
5637,CHEBI:17319:-,IPR014729,26.113502935420744,0.004164849450407666,True,0.016063547487292336,1.4168651331589508,1.7941585385079306
5638,CHEBI:17858:-,IPR041805,76.9080459770115,0.0007628995593296513,True,0.005266808259616291,1.8859717772608124,2.2784524920291447
5639,CHEBI:28368:-,IPR036388,24.293478260869566,0.004048812517649947,True,0.015997450550769184,1.3854897001224,1.7959492235912056
5640,CHEBI:17319:-,IPR017926,73.83516483516483,0.0005860803359374296,True,0.0042874770065988565,1.8682632487686412,2.3677981960299928
5641,CHEBI:16054:-,IPR034253,2248.3333333333335,3.6812398612305514e-06,True,8.096211085618987e-05,3.3518606992882605,4.0917181773663724
5642,CHEBI:28368:-,IPR036202,280.25,8.510327683581663e-05,True,0.0010290583744025541,2.4475456212670106,2.9875599887343114
5643,CHEBI:61953:+,IPR017853,15000.0,0.00014562671912259114,True,0.001575791608879229,4.176091259055681,2.8025012164770935
5644,CHEBI:30915:+,IPR002915,118.01754385964912,0.0002549517865725343,True,0.002428248035664855,2.0719465720103107,2.6147069539152445
